Address Part 1,Address Part 2,Full Address,Latitude,Longitude
1206 West Hillsdale Boulevard,"San Mateo, California 94403","1206 West Hillsdale Boulevard, San Mateo, California 94403",37.533487,-122.326454
340 3rd Street,"San Rafael, California 94901","340 3rd Street, San Rafael, California 94901",37.9713513,-122.5168423
2415-2505 2415 San Ramon Valley Boulevard,"San Ramon, California 94583","2415-2505 2415 San Ramon Valley Boulevard, San Ramon, California 94583",37.7747116,-121.9792141
21001  21001 San Ramon Valley Boulevard,"San Ramon, California 94583","21001  21001 San Ramon Valley Boulevard, San Ramon, California 94583",37.7238252,-121.9441113
2610 Bishop Drive,"San Ramon, California 94583","2610 Bishop Drive, San Ramon, California 94583",37.7621797,-121.964373
2040 California Avenue,"Sand City, California 93955","2040 California Avenue, Sand City, California 93955",36.6211304,-121.8430953
300 East 5th Street,"Santa Ana, California 92701","300 East 5th Street, Santa Ana, California 92701",33.7486661,-117.865313
621 Anacapa Street,"Santa Barbara, California 90301","621 Anacapa Street, Santa Barbara, California 90301",34.4190138,-119.6958941
3943 State Street,"Santa Barbara, California 93105","3943 State Street, Santa Barbara, California 93105",34.439064,-119.7528284
3945 Rivermark Plaza,"Santa Clara, California 95054","3945 Rivermark Plaza, Santa Clara, California 95054",37.3951073,-121.9451899
24061 Newhall Ranch Road,"Valencia, California 91355","24061 Newhall Ranch Road, Valencia, California 91355",34.4309256,-118.5562983
911 Soquel Avenue,"Santa Cruz, California 95062","911 Soquel Avenue, Santa Cruz, California 95062",36.978945,-122.014572
371 Town Center East,"Santa Maria, California 93454","371 Town Center East, Santa Maria, California 93454",34.9519351,-120.4336169
395 Santa Monica Place,"Santa Monica, California 90401","395 Santa Monica Place, Santa Monica, California 90401",34.013873,-118.4940602
1819  Cloverfield Boulevard,"Santa Monica, California 90404","1819  Cloverfield Boulevard, Santa Monica, California 90404",34.0253106,-118.4696803
13070 CA-33,"Santa Nella, California 95322","13070 CA-33, Santa Nella, California 95322",37.0993805,-121.0125064
733 Coddingtown Center,"Santa Rosa, California 95401","733 Coddingtown Center, Santa Rosa, California 95401",38.45668,-122.7301367
30270 CA-78,"Santa Ysabel, California 92070","30270 CA-78, Santa Ysabel, California 92070",33.1095417,-116.674449
230 Mount Hermon Road,"Scott's Valley, California 95066","230 Mount Hermon Road, Scott's Valley, California 95066",37.0471222,-122.0272339
2851  Highland Ave,"Selma, California 93662","2851  Highland Ave, Selma, California 93662",36.5743876,-119.6299949
15301 Ventura Boulevard,"Sherman Oaks, California 91403","15301 Ventura Boulevard, Sherman Oaks, California 91403",34.1562003,-118.4670526
51 Tierra Rejada Road,"Simi Valley, California 93065","51 Tierra Rejada Road, Simi Valley, California 93065",34.2734901,-118.798316
48400 Seminole Drive,"Cabazon, California 92230-2125","48400 Seminole Drive, Cabazon, California 92230-2125",33.9308138,-116.816669
437 Hwy 101,"Solana Beach, California 92075","437 Hwy 101, Solana Beach, California 92075",32.9856859,-117.2705968
100 Front Street,"Soledad, California 93960","100 Front Street, Soledad, California 93960",36.4297169,-121.3340585
2080 H Dela Rosa St,"Soledad, California 93960","2080 H Dela Rosa St, Soledad, California 93960",36.4181403,-121.32043
276 East Napa Street,"Sonoma, California 95476","276 East Napa Street, Sonoma, California 95476",38.2919155,-122.4525624
5820 Firestone Boulevard,"South Gate, California 90280","5820 Firestone Boulevard, South Gate, California 90280",33.9479532,-118.1641835
2977  US-50,"South Lake Tahoe, California 96150","2977  US-50, South Lake Tahoe, California 96150",38.8558073,-120.0127082
250 Gateway Boulevard,"South San Francisco, California 94080","250 Gateway Boulevard, South San Francisco, California 94080",37.6554383,-122.4008882
4255  East Morada Lane,"Stockton, California 95212","4255  East Morada Lane, Stockton, California 95212",38.0397206,-121.2602845
2323 Grand Canal Boulevard,"Stockton, California 95207","2323 Grand Canal Boulevard, Stockton, California 95207",37.98454,-121.3356818
190 Pittman Rd,"Fairfield, California 94534","190 Pittman Rd, Fairfield, California 94534",38.2214019,-122.1266333
1100 North Mathilda Avenue,"Sunnyvale, California 94089","1100 North Mathilda Avenue, Sunnyvale, California 94089",37.4053113,-122.0240444
639 S Bernardo Ave,"Sunnyvale, California 94087","639 S Bernardo Ave, Sunnyvale, California 94087",37.3729675,-122.0580874
298 W. McKinley Ave.,"Sunnyvale, California 94086-6193","298 W. McKinley Ave., Sunnyvale, California 94086-6193",37.3737368,-122.0324243
900 Skyline Road,"Susanville, California 96130","900 Skyline Road, Susanville, California 96130",40.43061,-120.6576044
140 Lake Boulevard,"Tahoe City, California 96145","140 Lake Boulevard, Tahoe City, California 96145",39.1679101,-120.1443514
5602 Dennis McCarthy Drive,"Lebec, California 93243-9725","5602 Dennis McCarthy Drive, Lebec, California 93243-9725",34.9866542,-118.9461324
5701 Outlets at Tejon Parkway,"Arvin, California 93203","5701 Outlets at Tejon Parkway, Arvin, California 93203",34.9848377,-118.9415835
30515 Temecula Parkway,"Temecula, California 92592","30515 Temecula Parkway, Temecula, California 92592",33.4750364,-117.1296005
4000 East Thousand Oaks Boulevard,"Thousand Oaks, California 91362","4000 East Thousand Oaks Boulevard, Thousand Oaks, California 91362",34.1606353,-118.822407
350 West Hillcrest Drive,"Thousand Oaks, California 91360","350 West Hillcrest Drive, Thousand Oaks, California 91360",34.1849672,-118.8884423
3490  Fashion Way,"Torrance, California 90503","3490  Fashion Way, Torrance, California 90503",33.8351184,-118.3486699
2850  West Grant Line Road,"Tracy, California 95304","2850  West Grant Line Road, Tracy, California 95304",37.7535673,-121.4673186
36005 CA-99,"Traver, California 93673","36005 CA-99, Traver, California 93673",36.448221,-119.4860619
11209 Brockway Road,"Truckee, California 96161-2221","11209 Brockway Road, Truckee, California 96161-2221",39.3228154,-120.165943
11290 Donner Pass Rd,"Truckee, California 96161-4808","11290 Donner Pass Rd, Truckee, California 96161-4808",39.3272974,-120.2064623
Soaring Way,"Truckee, California 96161","Soaring Way, Truckee, California 96161",39.3193197,-120.1523557
1680 Countryside Drive,"Turlock, California 95380","1680 Countryside Drive, Turlock, California 95380",37.5084731,-120.8755185
1705 Flight Way,"Tustin, California 92782","1705 Flight Way, Tustin, California 92782",33.7050609,-117.8386067
14521 Red Hill Avenue,"Tustin, California 92780","14521 Red Hill Avenue, Tustin, California 92780",33.7281011,-117.8221788
15160 Kensington Park Drive,"Tustin, California 92782","15160 Kensington Park Drive, Tustin, California 92782",33.7112433,-117.8168195
73829 Baseline Road,"Twentynine Palms, California 92277-4125","73829 Baseline Road, Twentynine Palms, California 92277-4125",34.1195247,-116.0510842
250 W Clay St.,"Ukiah, California 95482-4830","250 W Clay St., Ukiah, California 95482-4830",39.1481137,-123.2086933
1315  North State Street,"Ukiah, California 95482","1315  North State Street, Ukiah, California 95482",39.1684465,-123.210339
34536  Alvarado-Niles Road,"Union City, California 94587","34536  Alvarado-Niles Road, Union City, California 94587",37.5876003,-122.0196232
333 Universal Hollywood Dr,"Universal City, California 91608","333 Universal Hollywood Dr, Universal City, California 91608",34.1374897,-118.359786
321 Nut Tree Road,"Vacaville, California 95687-3242","321 Nut Tree Road, Vacaville, California 95687-3242",38.3668743,-121.9544212
2098  Harbison Dr,"Vacaville, California 95687","2098  Harbison Dr, Vacaville, California 95687",38.3613449,-121.9610738
27630 The Old Road,"Valencia, California 91355","27630 The Old Road, Valencia, California 91355",34.4230333,-118.5850869
2155  Solano Avenue,"Vallejo, California 94590","2155  Solano Avenue, Vallejo, California 94590",38.1036423,-122.2308041
904 Admiral Callaghan Lane,"Vallejo, California 94591","904 Admiral Callaghan Lane, Vallejo, California 94591",38.1316646,-122.2226661
256 S Ann St,"Ventura, California 93001","256 S Ann St, Ventura, California 93001",34.2775973,-119.2836132
4095 Telegraph Rd,"Ventura, California 93003","4095 Telegraph Rd, Ventura, California 93003",34.2746533,-119.2395509
14598 7th St,"Victorville, California 92395","14598 7th St, Victorville, California 92395",34.5168713,-117.3146493
11604 Amargosa Rd,"Victorville, California 92392","11604 Amargosa Rd, Victorville, California 92392",34.4627081,-117.3531569
6603  Betty Drive,"Visalia, California 93291","6603  Betty Drive, Visalia, California 93291",36.350668,-119.4239875
1861 University Dr,"Vista, California 92081","1861 University Dr, Vista, California 92081",33.1701646,-117.2183745
401  Vista Village Drive,"Vista , California 92083","401  Vista Village Drive, Vista , California 92083",33.2005109,-117.2460708
2290 Oak Grove Rd,"Walnut Creek, California 94598","2290 Oak Grove Rd, Walnut Creek, California 94598",37.9294519,-122.0161441
1153 Locust Street,"Walnut Creek, California 94596","1153 Locust Street, Walnut Creek, California 94596",37.8952933,-122.0618165
1415 Main Street,"Watsonville, California 95076","1415 Main Street, Watsonville, California 95076",36.9148695,-121.7742164
1665  Main Street,"Weaverville, California 96093","1665  Main Street, Weaverville, California 96093",40.721048,-122.927197
21361 Gulf Freeway,"Webster, Texas 77598","21361 Gulf Freeway, Webster, Texas 77598",29.5194027,-95.122483
2650 East Garvey Avenue South,"West Covina, California 91791","2650 East Garvey Avenue South, West Covina, California 91791",34.0706209,-117.8883964
8775   Sunset Boulevard,"West Hollywood, California 90069","8775   Sunset Boulevard, West Hollywood, California 90069",34.0913116,-118.3825882
1151 Galleria Blvd,"Roseville, California 95678-1937","1151 Galleria Blvd, Roseville, California 95678-1937",38.7734303,-121.269432
1025 Westminster Mall,"Westminster, California 92683","1025 Westminster Mall, Westminster, California 92683",33.7474711,-118.0123874
464 6th Street,"Williams, California 95987","464 6th Street, Williams, California 95987",39.1554861,-122.1490139
8852 Lakewood Drive,"Windsor, California 95492","8852 Lakewood Drive, Windsor, California 95492",38.5489806,-122.8046226
2185 Bronze Star Drive,"Woodland, California 95776","2185 Bronze Star Drive, Woodland, California 95776",38.6727067,-121.7248895
40865 Sunrise Canyon Road,"Yermo, California 92398","40865 Sunrise Canyon Road, Yermo, California 92398",34.9192573,-116.7693548
36017 Calico Road,"Yermo, California 92398","36017 Calico Road, Yermo, California 92398",34.907921,-116.8352704
18601-18659 Yorba Linda Blvd,"Yorba Linda, California 92886","18601-18659 Yorba Linda Blvd, Yorba Linda, California 92886",33.8895328,-117.8086119
18210-18380 Yorba Linda Blvd,"Yorba Linda, California 92886","18210-18380 Yorba Linda Blvd, Yorba Linda, California 92886",33.8877932,-117.8147486
1808 Fort Jones Road,"Yreka, California 96097","1808 Fort Jones Road, Yreka, California 96097",41.7013707,-122.6450598
1475 Tharp Road,"Yuba City, California 95993","1475 Tharp Road, Yuba City, California 95993",39.1481072,-121.6470456
57220-57274  Twentynine Palms Highway,"Yucca Valley, California 92284","57220-57274  Twentynine Palms Highway, Yucca Valley, California 92284",34.1241322,-116.4161732
715 6th St,"Alamosa, Colorado 81101","715 6th St, Alamosa, Colorado 81101",37.4675058,-105.8678537
38750 Highway 82,"Aspen, Colorado 81611-2506","38750 Highway 82, Aspen, Colorado 81611-2506",39.2051704,-106.8587699
3100 28th St,"Boulder, Colorado 80301","3100 28th St, Boulder, Colorado 80301",40.0311694,-105.2577434
1710 29th Street,"Boulder, Colorado 80301","1710 29th Street, Boulder, Colorado 80301",40.0178849,-105.2560518
5112 East Bromley Lane,"Brighton, Colorado 80603","5112 East Bromley Lane, Brighton, Colorado 80603",39.9716307,-104.7490893
1156 CO-71,"Brush, Colorado 80723-2902","1156 CO-71, Brush, Colorado 80723-2902",40.2710857,-103.6226003
9555 East County Line Road,"Centennial, Colorado 80112","9555 East County Line Road, Centennial, Colorado 80112",39.5677388,-104.8768402
215 North Cascade Avenue,"Colorado Springs, Colorado 80903-1312","215 North Cascade Avenue, Colorado Springs, Colorado 80903-1312",38.8374724,-104.8245769
25637 Conifer Road,"Conifer, Colorado 80433","25637 Conifer Road, Conifer, Colorado 80433",39.5442012,-105.2920762
700 East Victory Way,"Craig, Colorado 81625","700 East Victory Way, Craig, Colorado 81625",40.5138302,-107.5385423
44 Pontiac St,"Denver, Colorado 80224","44 Pontiac St, Denver, Colorado 80224",39.7177811,-104.9058251
6691 6691 Tower Rd,"Denver, Colorado 80249","6691 6691 Tower Rd, Denver, Colorado 80249",39.8177906,-104.7725526
5940 5940 Tower Rd,"Denver, Colorado 80249","5940 5940 Tower Rd, Denver, Colorado 80249",39.8043471,-104.7700923
4310 Airport Way,"Denver, Colorado 80239-5796","4310 Airport Way, Denver, Colorado 80239-5796",39.774787,-104.7951675
434 Edwards Access Road,"Edwards, Colorado 81632","434 Edwards Access Road, Edwards, Colorado 81632",39.6481983,-106.587504
333 Wonderview Avenue,"Estes Park, Colorado 80517-9665","333 Wonderview Avenue, Estes Park, Colorado 80517-9665",40.3828836,-105.5192192
125 Wulfsohn Road,"Glenwood Springs, Colorado 81601-8700","125 Wulfsohn Road, Glenwood Springs, Colorado 81601-8700",39.5528668,-107.3411386
2424 U.S-6,"Grand Junction, Colorado 81505-1109","2424 U.S-6, Grand Junction, Colorado 81505-1109",39.0922698,-108.6017723
1319 Miner Street,"Idaho Springs, Colorado 80452","1319 Miner Street, Idaho Springs, Colorado 80452",39.7416979,-105.5190689
5201 Nugget Rd,"Johnstown, Colorado 80534","5201 Nugget Rd, Johnstown, Colorado 80534",40.333753,-104.9830878
605 Park Avenue,"Kremmling, Colorado 80459","605 Park Avenue, Kremmling, Colorado 80459",40.0592574,-106.3877738
5505 W 20th Ave,"Edgewater, Colorado 80214","5505 W 20th Ave, Edgewater, Colorado 80214",39.7491723,-105.0572929
14500 West Colfax Avenue,"Lakewood, Colorado 80401","14500 West Colfax Avenue, Lakewood, Colorado 80401",39.7317429,-105.1595216
109  E Beech St,"Lamar , Colorado 81052","109  E Beech St, Lamar , Colorado 81052",38.0897221,-102.6184143
2221 6th St.,"Limon, Colorado 80828","2221 6th St., Limon, Colorado 80828",39.2689495,-103.7088432
8401 Park Meadows Center Drive,"Lone Tree, Colorado 80124-5128","8401 Park Meadows Center Drive, Lone Tree, Colorado 80124-5128",39.5621454,-104.8761104
4705 Clydesdale Parkway,"Loveland, Colorado 80538-9347","4705 Clydesdale Parkway, Loveland, Colorado 80538-9347",40.4405104,-104.9905819
533 North 1st Street,"Montrose, Colorado 81401","533 North 1st Street, Montrose, Colorado 81401",38.4817422,-107.8760331
17970 Knollwood Drive,"Monument, Colorado 80132","17970 Knollwood Drive, Monument, Colorado 80132",39.0922888,-104.8521437
455 Mountain Village Blvd,"Mountain Village, Colorado 81435-9459","455 Mountain Village Blvd, Mountain Village, Colorado 81435-9459",37.932421,-107.8541291
28 Cardinal Way,"Parachute, Colorado 81635","28 Cardinal Way, Parachute, Colorado 81635",39.4526169,-108.0463434
6250 US Highway 285,"Poncha Springs, Colorado 81242-0000","6250 US Highway 285, Poncha Springs, Colorado 81242-0000",38.5121871,-106.076312
101-149  Richmond Avenue,"Pueblo , Colorado 81003","101-149  Richmond Avenue, Pueblo , Colorado 81003",38.2669946,-104.6102698
675 Wapiti Ct,"Rifle, Colorado 81650","675 Wapiti Ct, Rifle, Colorado 81650",39.522957,-107.7744616
101 Ruby Ranch Road,"Silverthorne, Colorado 80498","101 Ruby Ranch Road, Silverthorne, Colorado 80498",39.6460755,-106.0796328
246-V  Rainbow Dr,"Silverthorne, Colorado 80498-0497","246-V  Rainbow Dr, Silverthorne, Colorado 80498-0497",39.6303982,-106.0697958
2  South Marshall Road,"Superior, Colorado 80027","2  South Marshall Road, Superior, Colorado 80027",39.9541184,-105.1630272
237 East 120th Avenue,"Thornton, Colorado 80233","237 East 120th Avenue, Thornton, Colorado 80233",39.9144861,-104.987031
9960 Santa Fe Trail,"Trinidad, Colorado 81082-3968","9960 Santa Fe Trail, Trinidad, Colorado 81082-3968",37.1336736,-104.5198315
7450 Federal Blvd,"Westminster, Colorado 80030","7450 Federal Blvd, Westminster, Colorado 80030",39.8320519,-105.0243541
7 Backus Ave,"Danbury, Connecticut 06810-7422","7 Backus Ave, Danbury, Connecticut 06810-7422",41.3804789,-73.4784187
1 E Trail,"Darien, Connecticut 06820-5513","1 E Trail, Darien, Connecticut 06820-5513",41.0736008,-73.4609324
1 West Ave.,"Darien, Connecticut 06820-4737","1 West Ave., Darien, Connecticut 06820-4737",41.0678549,-73.5043948
165 165 Round Hill Road,"Fairfield, Connecticut 06824","165 165 Round Hill Road, Fairfield, Connecticut 06824",41.1463506,-73.2559874
267 267 Round Hill Road,"Fairfield, Connecticut 06824","267 267 Round Hill Road, Fairfield, Connecticut 06824",41.1479388,-73.2566773
3000 3000 Merritt Parkway,"Greenwich, Connecticut 06830-6831","3000 3000 Merritt Parkway, Greenwich, Connecticut 06830-6831",41.0410628,-73.6722776
2000 2000 Merritt Parkway,"Greenwich, Connecticut 06830-6831","2000 2000 Merritt Parkway, Greenwich, Connecticut 06830-6831",41.0412052,-73.6730506
2100 Dixwell Avenue,"Hamden, Connecticut 06514","2100 Dixwell Avenue, Hamden, Connecticut 06514",41.3697456,-72.9205872
165 Leibert Road,"Hartford, Connecticut 06120","165 Leibert Road, Hartford, Connecticut 06120",41.7872375,-72.6557
777 Main Street,"Hartford, Connecticut 06824-2308","777 Main Street, Hartford, Connecticut 06824-2308",41.766219,-72.6738298
160 River Road,"LIsbon, Connecticut 06351","160 River Road, LIsbon, Connecticut 06351",41.5859004,-71.9919982
1-95 North Avenue,"Madison, Connecticut 06443","1-95 North Avenue, Madison, Connecticut 06443",41.2745327,-72.5811389
1-95 South Street,"Madison, Connecticut 06443","1-95 South Street, Madison, Connecticut 06443",41.2729507,-72.551518
1470 Pleasant Valley Road,"Manchester, Connecticut 06042-8764","1470 Pleasant Valley Road, Manchester, Connecticut 06042-8764",41.805839,-72.5596714
903 East Main Street,"Meriden, Connecticut 06450","903 East Main Street, Meriden, Connecticut 06450",41.5273408,-72.7734026
1201 Boston Post Road,"Milford, Connecticut 06460","1201 Boston Post Road, Milford, Connecticut 06460",41.2359938,-73.035543
1 1 Connecticut Turnpike,"Milford, Connecticut 06460-6461","1 1 Connecticut Turnpike, Milford, Connecticut 06460-6461",41.2457363,-73.0085188
2 2 Connecticut Turnpike,"Milford, Connecticut 06460-6461","2 2 Connecticut Turnpike, Milford, Connecticut 06460-6461",41.2467647,-73.0102556
12  Coogan Boulevard,"Mystic, Connecticut 06355","12  Coogan Boulevard, Mystic, Connecticut 06355",41.3721059,-71.9551154
500  Sargent Drive,"New Haven, Connecticut 06511","500  Sargent Drive, New Haven, Connecticut 06511",41.296474,-72.9186954
351 North Frontage Road,"New London, Connecticut 06320","351 North Frontage Road, New London, Connecticut 06320",41.3720799,-72.1182872
291 Danbury Road,"New Milford, Connecticut 06776","291 Danbury Road, New Milford, Connecticut 06776",41.5384574,-73.4215202
11 East Main Street,"North Canaan, Connecticut 06018","11 East Main Street, North Canaan, Connecticut 06018",42.0247956,-73.3217734
1145 High Ridge Rd,"North Stamford, Connecticut 06905-1215","1145 High Ridge Rd, North Stamford, Connecticut 06905-1215",41.1083162,-73.5468056
632 Cromwell Ave,"Rocky Hill, Connecticut 06067","632 Cromwell Ave, Rocky Hill, Connecticut 06067",41.6535244,-72.678749
600 Executive Blvd S,"Southington, Connecticut 06489","600 Executive Blvd S, Southington, Connecticut 06489",41.6112499,-72.9012749
2233 Summer Street,"Stamford, Connecticut 06905","2233 Summer Street, Stamford, Connecticut 06905",41.0675175,-73.5450344
145  Talcottville Rd,"Vernon  , Connecticut 06066","145  Talcottville Rd, Vernon  , Connecticut 06066",41.8313796,-72.4948426
160 Kukas Lane,"Waterbury, Connecticut 06705","160 Kukas Lane, Waterbury, Connecticut 06705",41.5368343,-73.0057428
1445 New Britain Ave.,"West Hartford, Connecticut 06110-1659","1445 New Britain Ave., West Hartford, Connecticut 06110-1659",41.7232377,-72.7585723
2621 Philadelphia Pike,"Claymont, Delaware 19703","2621 Philadelphia Pike, Claymont, Delaware 19703",39.7942411,-75.4689913
605 Naamans Road,"Brandywine, Delaware 19703","605 Naamans Road, Brandywine, Delaware 19703",39.8180761,-75.4559342
2800 North Dupont Highway,"Dover, Delaware 19901","2800 North Dupont Highway, Dover, Delaware 19901",39.194791,-75.5471394
17663 Dartmouth Drive,"Lewes, Delaware 19958-4203","17663 Dartmouth Drive, Lewes, Delaware 19958-4203",38.7440109,-75.1539403
5018 Summit Bridge Road,"Middletown, Delaware 19709","5018 Summit Bridge Road, Middletown, Delaware 19709",39.4795663,-75.721419
970 Christiana Bypass,"New Castle, Delaware 19702","970 Christiana Bypass, New Castle, Delaware 19702",39.6653691,-75.6673201
4000  North Dupont Highway,"New Castle, Delaware 19720","4000  North Dupont Highway, New Castle, Delaware 19720",39.7096328,-75.5625024
530 John F Kennedy Memorial Hwy,"Newark, Delaware 19702-5427","530 John F Kennedy Memorial Hwy, Newark, Delaware 19702-5427",39.6837226,-75.7496572
274 E Chestnut Hill Rd,"Newark, Delaware 19713","274 E Chestnut Hill Rd, Newark, Delaware 19713",39.6623243,-75.735559
19791 Coastal Hwy,"Rehoboth Beach, Delaware 19971","19791 Coastal Hwy, Rehoboth Beach, Delaware 19971",38.7170409,-75.1096268
30155 Veterans Way,"Rehoboth, Delaware 19971","30155 Veterans Way, Rehoboth, Delaware 19971",38.7125857,-75.1042393
22932  Sussex Highway,"Seaford, Delaware 19973","22932  Sussex Highway, Seaford, Delaware 19973",38.6591315,-75.5945905
130 M Street NE,"Washington, District of Columbia 20002","130 M Street NE, Washington, District of Columbia 20002",38.9059426,-77.005025
3401 Idaho Ave NW,"Washington, District of Columbia 20016","3401 Idaho Ave NW, Washington, District of Columbia 20016",38.9354795,-77.073387
2438 Market Street NE,"Washington, District of Columbia 20018","2438 Market Street NE, Washington, District of Columbia 20018",38.9201306,-76.9554404
1855 Wisconsin Ave NW,"Washington, District of Columbia 20007","1855 Wisconsin Ave NW, Washington, District of Columbia 20007",38.9160093,-77.0676802
15560  Northwest US Highway 441,"Alachua, Florida 32615","15560  Northwest US Highway 441, Alachua, Florida 32615",29.7959713,-82.5012764
355 East Altamonte Drive,"Altamonte Springs, Florida 32701","355 East Altamonte Drive, Altamonte Springs, Florida 32701",28.6636164,-81.380534
1615  South Orange Blossom Trail,"Apopka, Florida 32703","1615  South Orange Blossom Trail, Apopka, Florida 32703",28.6540461,-81.4686642
1737  East Oak Street,"Arcadia, Florida 34266","1737  East Oak Street, Arcadia, Florida 34266",27.2101698,-81.8380577
21005 21005 Biscayne Boulevard,"Aventura, Florida 33180","21005 21005 Biscayne Boulevard, Aventura, Florida 33180",25.970408,-80.143439
19501 19501 Biscayne Boulevard,"Aventura, Florida 33180","19501 19501 Biscayne Boulevard, Aventura, Florida 33180",25.9569669,-80.1414627
251  Key Deer Boulevard,"Big Pine Key, Florida 33043","251  Key Deer Boulevard, Big Pine Key, Florida 33043",24.6731429,-81.3568707
6000 Glades Road,"Boca Raton, Florida 33431","6000 Glades Road, Boca Raton, Florida 33431",26.3651819,-80.1330259
650  North Congress Avenue,"Boynton Beach, Florida 33426","650  North Congress Avenue, Boynton Beach, Florida 33426",26.5334903,-80.0878883
2400 W Brandon Blvd,"Brandon, Florida 33511-4721","2400 W Brandon Blvd, Brandon, Florida 33511-4721",27.9414097,-82.3241627
31100 Cortez Boulevard,"Brooksville, Florida 34602","31100 Cortez Boulevard, Brooksville, Florida 34602",28.5214823,-82.2298906
"Mile Post 229, Florida's Turnpike","Saint Cloud, Florida 34769","Mile Post 229, Florida's Turnpike, Saint Cloud, Florida 34769",28.0938914,-81.2733912
6210 W Irlo Bronson Memorial Hwy,"Celebration, Florida 34747","6210 W Irlo Bronson Memorial Hwy, Celebration, Florida 34747",28.3321649,-81.5327309
1698 Main St,"Chipley, Florida 32428","1698 Main St, Chipley, Florida 32428",30.7521591,-85.551399
26508 US Highway 19 North,"Clearwater, Florida 33761","26508 US Highway 19 North, Clearwater, Florida 33761",28.0152027,-82.7370621
2670 South Ferdon Boulevard,"Crestview, Florida 32536","2670 South Ferdon Boulevard, Crestview, Florida 32536",30.7335061,-86.5672801
505 US-19,"Crystal River, Florida 34429","505 US-19, Crystal River, Florida 34429",28.8990208,-82.5864725
11101  Southwest 184 Strett,"Cutler Bay, Florida 33157","11101  Southwest 184 Strett, Cutler Bay, Florida 33157",25.5983811,-80.3720816
8103 Lake Wilson Road,"Davenport, Florida 33896","8103 Lake Wilson Road, Davenport, Florida 33896",28.2588284,-81.5900289
1904 South University Drive,"Davie, Florida 33324","1904 South University Drive, Davie, Florida 33324",26.0955123,-80.250297
2500 West International Speedway Boulevard,"Daytona Beach, Florida 32114","2500 West International Speedway Boulevard, Daytona Beach, Florida 32114",29.1791833,-81.0830543
20 SW 12th Avenue,"Deerfield Beach, Florida 33442","20 SW 12th Avenue, Deerfield Beach, Florida 33442",26.3171407,-80.1194479
Corner of Baldwin Ave. & 10th St,"De Funiak Springs, Florida 32435-2853","Corner of Baldwin Ave. & 10th St, De Funiak Springs, Florida 32435-2853",30.7204645,-86.116632
14851 Lyons Road,"Delray Beach, Florida 33446","14851 Lyons Road, Delray Beach, Florida 33446",26.4549766,-80.1895988
3400 Howland Blvd,"Deltona, Florida 32725","3400 Howland Blvd, Deltona, Florida 32725",28.9499726,-81.2509159
3300  Northwest 87th Avenue,"Doral, Florida 33172","3300  Northwest 87th Avenue, Doral, Florida 33172",25.805955,-80.3378667
4431 PGA Blvd,"Palm Beach Gardens, Florida 33410","4431 PGA Blvd, Palm Beach Gardens, Florida 33410",26.8391246,-80.1038594
10801  Corkscrew Road,"Estero, Florida 33928","10801  Corkscrew Road, Estero, Florida 33928",26.4368756,-81.7752843
33505 South Dixie Hwy,"Florida City, Florida 33034-5628","33505 South Dixie Hwy, Florida City, Florida 33034-5628",25.4567406,-80.4745841
184 Florida's Turnpike,"Okeechobee, Florida 34972-4974","184 Florida's Turnpike, Okeechobee, Florida 34972-4974",27.5746081,-80.8028509
2414  East Sunrise Boulevard,"Fort Lauderdale, Florida 33304","2414  East Sunrise Boulevard, Fort Lauderdale, Florida 33304",26.1366637,-80.1124983
6191  Powerline Road,"Fort Lauderdale, Florida 33309","6191  Powerline Road, Fort Lauderdale, Florida 33309",26.2026694,-80.156379
2620 West Broward Boulevard,"Fort Lauderdale, Florida 33312","2620 West Broward Boulevard, Fort Lauderdale, Florida 33312",26.1212153,-80.1775673
9355 Six Mile Cypress Parkway,"Fort Myers, Florida 33966-6527","9355 Six Mile Cypress Parkway, Fort Myers, Florida 33966-6527",26.6073278,-81.8104375
9903 Gulf Coast Main Street,"Fort Meyers, Florida 33913","9903 Gulf Coast Main Street, Fort Meyers, Florida 33913",26.4835441,-81.7877586
5575 Okeechobee Road,"Fort Pierce, Florida 34947","5575 Okeechobee Road, Fort Pierce, Florida 34947",27.4172085,-80.3817118
9401 NW 39th Ave,"Gainesville, Florida 32606","9401 NW 39th Ave, Gainesville, Florida 32606",29.6884683,-82.4428667
3217 Southwest 35th Boulevard,"Gainesville, Florida 32608","3217 Southwest 35th Boulevard, Gainesville, Florida 32608",29.6254254,-82.3782153
1430 Tiger Point Blvd,"Gulf Breeze, Florida 32563","1430 Tiger Point Blvd, Gulf Breeze, Florida 32563",30.3899593,-87.061943
701  North Federal Highway,"Hallandale Beach  , Florida 33009","701  North Federal Highway, Hallandale Beach  , Florida 33009",25.9932387,-80.1428843
18600  NW 87th Ave,"Hialeah, Florida 33015","18600  NW 87th Ave, Hialeah, Florida 33015",25.9443947,-80.3428511
13221 City Center Blvd,"Jacksonville, Florida 32218","13221 City Center Blvd, Jacksonville, Florida 32218",30.476846,-81.640496
703 Chaffee Road,"Jacksonville, Florida 32221","703 Chaffee Road, Jacksonville, Florida 32221",30.3067694,-81.8465751
2220 County Road 210,"St. Johns, Florida 32259","2220 County Road 210, St. Johns, Florida 32259",30.0614084,-81.5136863
4866 Gate Parkway,"Jacksonville, Florida 32246","4866 Gate Parkway, Jacksonville, Florida 32246",30.2537841,-81.5366726
